signal_id,rfc_id,rfc_title,decision,score,confidence,timestamp_valid,observation_timestamp,rfc_publication_date,domain,zone,matched_indicator_ids,failed_indicator_ids,matched_fields,missing_fields,base_indicator_score,specificity_multiplier,required_match_bonus,optional_match_bonus,missing_required_penalty,partial_match_penalty,ambiguity_penalty,timestamp_penalty,final_score,trace_id,reasoning_summary
sig_0001,RFC 3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS),valid_match,11.25,high,true,2009-09-01T00:00:00,2001-05-01T00:00:00,100.50.194.in-addr.arpa,ripe,rfc3110_rsasha1_algorithm,rfc3110_rsasha1_on_key_or_signature,algorithm,,9.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,11.25,trace_sig_0001_rfc3110,"RFC 3110 matched signal sig_0001: the required indicator rfc3110_rsasha1_algorithm passed because algorithm=5 equals the expected value 5. Indicator rfc3110_rsasha1_on_key_or_signature did not match: rr_type=DS is not in [DNSKEY, RRSIG, CDNSKEY]. The observation on 2009-09-01 is 3045 days after RFC 3110's publication on 2001-05-01, so the timestamp is valid. Score 11.25 (high) = (9.0 required) x 1.25 high specificity."
sig_0001,RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),valid_match,3.75,low,true,2009-09-01T00:00:00,2005-03-01T00:00:00,100.50.194.in-addr.arpa,ripe,rfc4033_base_dnssec_record_present; rfc4033_dnssec_algorithm_present,rfc4033_dnssec_ok_negotiated,algorithm; rr_type,dnssec_ok_flag,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,3.75,trace_sig_0001_rfc4033,"RFC 4033 matched signal sig_0001: the required indicator rfc4033_base_dnssec_record_present passed because rr_type=DS is in [DNSKEY, DS, RRSIG, NSEC]. Corroborating indicators also matched: rfc4033_dnssec_algorithm_present. Indicator rfc4033_dnssec_ok_negotiated did not match: field 'dnssec_ok_flag' is absent from this observation, so the condition 'dnssec_ok_flag must equal true' could not be satisfied (absence is not evidence). The observation on 2009-09-01 is 1645 days after RFC 4033's publication on 2005-03-01, so the timestamp is valid. Score 3.75 (low) = (4.0 required + 1.0 optional) x 0.75 low specificity."
sig_0001,RFC 4034,Resource Records for the DNS Security Extensions,valid_match,3.0,low,true,2009-09-01T00:00:00,2005-03-01T00:00:00,100.50.194.in-addr.arpa,ripe,rfc4034_core_record_present,rfc4034_dnskey_protocol_is_three; rfc4034_rrsig_type_covered_present,rr_type,dnskey_protocol; rrsig_type_covered,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,trace_sig_0001_rfc4034,"RFC 4034 matched signal sig_0001: the required indicator rfc4034_core_record_present passed because rr_type=DS is in [DNSKEY, DS, RRSIG, NSEC]. Indicator rfc4034_dnskey_protocol_is_three did not match: rr_type=DS is not in [DNSKEY, CDNSKEY]. The observation on 2009-09-01 is 1645 days after RFC 4034's publication on 2005-03-01, so the timestamp is valid. Score 3.0 (low) = (3.0 required) x 1.0 medium specificity."
sig_0001,RFC 4035,Protocol Modifications for the DNS Security Extensions,non_queryable,0.0,none,true,2009-09-01T00:00:00,2005-03-01T00:00:00,100.50.194.in-addr.arpa,ripe,,,,dnssec_ok_flag,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc4035,"RFC 4035 could not be evaluated against signal sig_0001: every required indicator (rfc4035_dnssec_ok_negotiated) depends on fields the OpenINTEL corpus does not export, so no verdict is possible in either direction. The observation on 2009-09-01 is 1645 days after RFC 4035's publication on 2005-03-01, so the timestamp is valid. This is a corpus limitation, not a statement about the observation."
sig_0001,RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,no_match,0.0,none,true,2009-09-01T00:00:00,2006-05-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc4509_ds_sha256_digest,,,0.0,1.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc4509,"RFC 4509 does not explain signal sig_0001: the required indicator rfc4509_ds_sha256_digest failed because digest_type=1 does not equal the expected value 2. The observation on 2009-09-01 is 1219 days after RFC 4509's publication on 2006-05-01, so the timestamp is valid. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 5011,Automated Updates of DNS Security (DNSSEC) Trust Anchors,no_match,0.0,none,true,2009-09-01T00:00:00,2007-09-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc5011_revoked_key_published,,flags,0.0,1.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc5011,"RFC 5011 does not explain signal sig_0001: the required indicator rfc5011_revoked_key_published failed because rr_type=DS does not equal the expected value DNSKEY. The observation on 2009-09-01 is 731 days after RFC 5011's publication on 2007-09-01, so the timestamp is valid. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,no_match,0.0,none,true,2009-09-01T00:00:00,2008-03-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc5155_nsec3_hash_algorithm; rfc5155_nsec3_record_present,,,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc5155,"RFC 5155 does not explain signal sig_0001: the required indicator rfc5155_nsec3_record_present failed because rr_type=DS is not in [NSEC3, NSEC3PARAM]. The observation on 2009-09-01 is 549 days after RFC 5155's publication on 2008-03-01, so the timestamp is valid. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 5702,Use of SHA-2 Algorithms with RSA in DNSKEY and RRSIG Resource Records for DNSSEC,no_match,0.0,none,false,2009-09-01T00:00:00,2009-10-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc5702_rsa_sha2_algorithm; rfc5702_rsa_sha2_on_dnssec_record,,,0.0,1.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc5702,"RFC 5702 does not explain signal sig_0001: the required indicator rfc5702_rsa_sha2_algorithm failed because algorithm=5 is not in [8, 10]. The observation on 2009-09-01 predates RFC 5702's publication on 2009-10-01 by 30 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 5933,Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,no_match,0.0,none,false,2009-09-01T00:00:00,2010-07-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc5933_ecc_gost_algorithm; rfc5933_gost_ds_digest,,,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc5933,"RFC 5933 does not explain signal sig_0001: the required indicator rfc5933_ecc_gost_algorithm failed because algorithm=5 does not equal the expected value 12. The observation on 2009-09-01 predates RFC 5933's publication on 2010-07-01 by 303 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,no_match,0.0,none,false,2009-09-01T00:00:00,2012-04-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc6605_ecdsa_algorithm; rfc6605_ecdsa_on_key_or_signature,,,0.0,1.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc6605,"RFC 6605 does not explain signal sig_0001: the required indicator rfc6605_ecdsa_algorithm failed because algorithm=5 is not in [13, 14]. The observation on 2009-09-01 predates RFC 6605's publication on 2012-04-01 by 943 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 6698,The DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS) Protocol: TLSA,no_match,0.0,none,false,2009-09-01T00:00:00,2012-08-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc6698_tlsa_fields_well_formed; rfc6698_tlsa_record_present,,tlsa_matchtype; tlsa_usage,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc6698,"RFC 6698 does not explain signal sig_0001: the required indicator rfc6698_tlsa_record_present failed because rr_type=DS does not equal the expected value TLSA. The observation on 2009-09-01 predates RFC 6698's publication on 2012-08-01 by 1065 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 6781,"DNSSEC Operational Practices, Version 2",no_match,0.0,none,false,2009-09-01T00:00:00,2012-12-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc6781_ksk_zsk_separation,,flags,0.0,0.75,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc6781,"RFC 6781 does not explain signal sig_0001: the required indicator rfc6781_ksk_zsk_separation failed because rr_type=DS does not equal the expected value DNSKEY. The observation on 2009-09-01 predates RFC 6781's publication on 2012-12-01 by 1187 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 6840,Clarifications and Implementation Notes for DNS Security (DNSSEC),non_queryable,0.0,none,false,2009-09-01T00:00:00,2013-02-01T00:00:00,100.50.194.in-addr.arpa,ripe,,,,name_algorithm_set_consistency,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc6840,"RFC 6840 could not be evaluated against signal sig_0001: every required indicator (rfc6840_mandatory_algorithm_rules) depends on fields the OpenINTEL corpus does not export, so no verdict is possible in either direction. The observation on 2009-09-01 predates RFC 6840's publication on 2013-02-01 by 1249 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. This is a corpus limitation, not a statement about the observation."
sig_0001,RFC 7344,Automating DNSSEC Delegation Trust Maintenance,no_match,0.0,none,false,2009-09-01T00:00:00,2014-09-01T00:00:00,100.50.194.in-addr.arpa,ripe,,rfc7344_cds_cdnskey_present; rfc7344_cds_publishes_digest,,,0.0,1.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc7344,"RFC 7344 does not explain signal sig_0001: the required indicator rfc7344_cds_cdnskey_present failed because rr_type=DS is not in [CDS, CDNSKEY]. The observation on 2009-09-01 predates RFC 7344's publication on 2014-09-01 by 1826 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. Score 0.0 (none): no required indicator matched, so there is nothing to score."
sig_0001,RFC 7583,DNSSEC Key Rollover Timing Considerations,non_queryable,0.0,none,false,2009-09-01T00:00:00,2015-10-01T00:00:00,100.50.194.in-addr.arpa,ripe,,,,key_rollover_phase,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace_sig_0001_rfc7583,"RFC 7583 could not be evaluated against signal sig_0001: every required indicator (rfc7583_rollover_timing_observed) depends on fields the OpenINTEL corpus does not export, so no verdict is possible in either direction. The observation on 2009-09-01 predates RFC 7583's publication on 2015-10-01 by 2221 days. An observation cannot evidence adoption of an RFC that did not yet exist, so the score is forfeited. This is a corpus limitation, not a statement about the observation."
